sensor	timestamp	valid	voltage	current	power	marker
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460301997	1	-3.40282e+38	-3.40282e+38	88.533	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302011	1	-3.40282e+38	-3.40282e+38	88.533	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302027	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302043	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302058	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302073	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302088	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302104	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302119	1	-3.40282e+38	-3.40282e+38	88.508	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302135	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302151	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302166	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302182	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302198	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302213	1	-3.40282e+38	-3.40282e+38	88.399	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302228	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302243	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302259	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302275	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302291	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302307	1	-3.40282e+38	-3.40282e+38	88.316	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302322	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302338	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302353	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302369	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302384	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302399	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302415	1	-3.40282e+38	-3.40282e+38	88.192	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302431	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302447	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302463	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302479	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302494	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302509	1	-3.40282e+38	-3.40282e+38	88.225	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302525	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302541	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302557	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302573	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302588	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302604	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302619	1	-3.40282e+38	-3.40282e+38	88.101	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302635	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302649	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302665	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302681	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302697	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302713	1	-3.40282e+38	-3.40282e+38	88.147	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302729	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302745	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302760	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302776	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302792	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302808	1	-3.40282e+38	-3.40282e+38	87.865	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302824	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302839	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302855	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302870	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302886	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302901	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302917	1	-3.40282e+38	-3.40282e+38	84.682	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302933	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302947	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302962	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302977	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460302993	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303009	1	-3.40282e+38	-3.40282e+38	80.836	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303025	1	-3.40282e+38	-3.40282e+38	76.955	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303041	1	-3.40282e+38	-3.40282e+38	76.955	waiting
